kode_politikus;politikus;kode_pendidikan;pendidikan
Q12471148;Aisyah Aminy;Q350752;Universitas Islam Indonesia
Q12471148;Aisyah Aminy;Q12481560;Diniyyah Puteri Padang Panjang
Q12471148;Aisyah Aminy;Q12523418;Universitas Negeri Yogyakarta
Q16176699;Akbar Faizal;Q7603607;Universitas Negeri Makassar
Q2581168;Akbar Tanjung;Q534515;Universitas Indonesia
Q2581168;Akbar Tanjung;Q1824905;Kolese Kanisius
Q2581168;Akbar Tanjung;Q12504954;Perguruan Cikini
Q17410363;Akhmad Muqowam;Q4200627;Universitas Diponegoro
Q25469243;Akhyar Nasution;Q4200341;Universitas Sumatera Utara
Q17410364;Akib Patta;Q478044;Universitas Hasanuddin
Q17997939;Al Muzzammil Yusuf;Q534515;Universitas Indonesia
Q61119223;Al Yasin Ali;Q12523408;Universitas Muslim Indonesia
Q61119223;Al Yasin Ali;Q123395170;SMK Negeri 3 Ambon
Q16165599;Alamuddin Dimyati Rois;Q4200627;Universitas Diponegoro
Q12471431;Aldi Taher;Q534515;Universitas Indonesia
Q12471431;Aldi Taher;Q12523355;Universitas Jayabaya
Q17410367;Aldiz Rapolo Siregar;Q1579397;Institut Teknologi Bandung
Q12471444;Alex Hesegem;Q12523487;Universitas Wiraswasta Indonesia
Q19723853;Alex Indra Lukman;Q12523322;Universitas Ekasakti
Q19723853;Alex Indra Lukman;Q12523440;Universitas Prof. Dr. Moestopo
Q19723853;Alex Indra Lukman;Q19734560;SMA Don Bosco Padang
Q19723853;Alex Indra Lukman;Q101259110;Frankfurt University of Applied Sciences Archido
Q19723853;Alex Indra Lukman;Q109330029;SMP Frater Padang
Q4717563;Alex Noerdin;Q2308020;Universitas Katolik Indonesia Atma Jaya
Q4717563;Alex Noerdin;Q4250926;Universitas Trisakti
Q4717563;Alex Noerdin;Q57947176;SMA Xaverius 1 Palembang
Q12682432;Alexander Andries Maramis;Q156598;Universitas Leiden
Q20278341;Alexander Litaay;Q7896071;Universitas Pattimura
Q85988606;Alfedri;Q19751985;Institut Pemerintahan Dalam Negeri
Q97590588;Alfia Reziani;Q534515;Universitas Indonesia
Q108895248;Alfons Loemau;Q17997867;Akademi Kepolisian
Q96987310;Ali Ahmad;Q12523344;Universitas Islam Malang
Q957483;Ali Alatas;Q534515;Universitas Indonesia
Q50827553;Ali Alwi;Q12506153;Pondok Pesantren Tebuireng
Q50827553;Ali Alwi;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q40168296;Ali Baal Masdar;Q478044;Universitas Hasanuddin
Q109563968;Ali Ibrahim;Q19745903;Sekolah Tinggi Ilmu Pelayaran Jakarta
Q12471487;Ali Masykur Musa;Q534515;Universitas Indonesia
Q12471487;Ali Masykur Musa;Q1145992;Universitas Gadjah Mada
Q12471486;Ali Mochtar Ngabalin;Q534515;Universitas Indonesia
Q12471489;Ali Mufiz;Q4200627;Universitas Diponegoro
Q16166068;Ali Mukhni;Q7603634;Universitas Negeri Padang
Q16166068;Ali Mukhni;Q12486667;Institut Keguruan dan Ilmu Pendidikan
Q2669326;Ali Sastroamidjojo;Q156598;Universitas Leiden
Q96989495;Ali Taher;Q3181122;Universitas Padjadjaran
Q96989495;Ali Taher;Q7686915;Universitas Tarumanagara
Q96989495;Ali Taher;Q12523390;Universitas Muhammadiyah Jakarta
Q17997991;Ali Umri;Q4200341;Universitas Sumatera Utara
Q17997991;Ali Umri;Q12523313;Universitas Darma Agung
Q17997991;Ali Umri;Q64828459;SD Taman Siswa
Q17997991;Ali Umri;Q97572803;SMP Negeri 1 Binjai
Q13091528;Ali Wardhana;Q168756;Universitas California, Berkeley
Q13091528;Ali Wardhana;Q534515;Universitas Indonesia
Q17997992;Ali Yusuf;Q280361;Universitas Andalas
Q96987623;Ali Zamroni;Q12486647;Institut Ilmu Sosial dan Ilmu Politik Jakarta
Q96988727;Alien Mus;Q12523290;Universitas Al Azhar Indonesia
Q17410558;Alimarwan Hanan;Q4200297;Universitas Sriwijaya
Q16162627;Alimin Abdullah;Q1579397;Institut Teknologi Bandung
Q16162627;Alimin Abdullah;Q6482697;Universitas Lampung
Q12471516;Alirman Sori;Q12523322;Universitas Ekasakti
Q12471516;Alirman Sori;Q12523366;Universitas Krisnadwipayana
