kodeId:ID,nama,:LABEL
Q123885395,Abdul Khayir,Politikus
Q123867905,Abdul Kholik,Politikus
Q123872687,Abdul Kholik,Politikus
Q123874947,Abdul Kholik,Politikus
Q123877782,Abdul Kholis,Politikus
Q123890057,Abdul Latif,Politikus
Q123875234,Abdul Latif Somad,Politikus
Q123872621,Abdul Majid,Politikus
Q123871722,Abdul Majid,Politikus
Q123868236,Abdul Malik,Politikus
Q123867429,Abdul Malik,Politikus
Q123874265,Abdul Malik,Politikus
Q123893260,Abdul Malik Ditu,Politikus
Q123885074,Abdul Malik Jaelani,Politikus
Q123881872,Abdul Malik Maulana,Politikus
Q123890682,Abdul Malik Mokodompit,Politikus
Q123897955,Abdul Malik Rumalutur,Politikus
Q123896224,Abdul Malik Sillia,Politikus
Q123875875,Abdul Maliq,Politikus
Q123879228,Abdul Maman Sukatma,Politikus
Q123895846,Abdul Manaf Muhammad,Politikus
Q123714736,Abdul Manan Nasution,Politikus
Q123888814,Abdul Merry,Politikus
Q123879966,Abdul Mu'is,Politikus
Q123894428,Abdul Muaz Abdullah,Politikus
Q123876336,Abdul Muhith Murtadlo,Politikus
Q123888606,Abdul Muhshi,Politikus
Q123896502,Abdul Muid Fabanyo,Politikus
Q123876238,Abdul Muin,Politikus
Q123892711,Abdul Muin Djalaluddin,Politikus
Q123714837,Abdul Muin Pulungan,Politikus
Q123893834,Abdul Muin Sakali,Politikus
Q123715576,Abdul Muis,Politikus
Q123894538,Abdul Muis,Politikus
Q123893809,Abdul Muis Syam,Politikus
Q123711305,Abdul Muiz,Politikus
Q123711209,Abdul Mujib Pasdak,Politikus
Q123875844,Abdul Mukti,Politikus
Q123892983,Abdul Munajat,Politikus
Q123710646,Abdul Munasib,Politikus
Q123889622,Abdul Munsir Zainuddin,Politikus
Q123876736,Abdul Mupid,Politikus
Q123890016,Abdul Murat,Politikus
Q123873063,Abdul Mutalib,Politikus
Q123895207,Abdul Mutalib Wakan,Politikus
Q123895276,Abdul Muthalib Kaisupy,Politikus
Q123890320,Abdul Napitu,Politikus
Q123879735,Abdul Natsir,Politikus
Q123878604,Abdul Oir,Politikus
Q123877843,Abdul Qodir,Politikus
Q123879880,Abdul Qodir,Politikus
Q123716433,Abdul Rachmat Noer,Politikus
Q123714461,Abdul Rahim,Politikus
Q123716352,Abdul Rahim,Politikus
Q123870870,Abdul Rahim,Politikus
Q123885141,Abdul Rahim,Politikus
Q123893432,Abdul Rahim,Politikus
Q123894513,Abdul Rahim,Politikus
Q123892112,Abdul Rahim,Politikus
Q123896602,Abdul Rahim G.,Politikus
Q123895391,Abdul Rahim Letsoin,Politikus
Q123897505,Abdul Rahim Patamasya,Politikus
Q123870075,Abdul Rahim Siregar,Politikus
Q123712306,Abdul Rahman,Politikus
Q123715855,Abdul Rahman,Politikus
Q123872620,Abdul Rahman,Politikus
Q123872949,Abdul Rahman,Politikus
Q123872963,Abdul Rahman,Politikus
Q123870371,Abdul Rahman,Politikus
Q123875695,Abdul Rahman,Politikus
Q123875944,Abdul Rahman,Politikus
Q123885292,Abdul Rahman,Politikus
Q123886519,Abdul Rahman,Politikus
Q123883585,Abdul Rahman,Politikus
Q123890070,Abdul Rahman,Politikus
Q123890110,Abdul Rahman,Politikus
Q123889705,Abdul Rahman,Politikus
Q123892272,Abdul Rahman,Politikus
Q123894530,Abdul Rahman,Politikus
Q123891733,Abdul Rahman,Politikus
Q123891782,Abdul Rahman,Politikus
Q123889625,Abdul Rahman Agus,Politikus
Q123871940,Abdul Rahman Atan,Politikus
Q123890548,Abdul Rahman Hasan,Politikus
Q123716724,Abdul Rahman Made,Politikus
Q123716443,Abdul Rahman N,Politikus
Q123869828,Abdul Rahman Sulistiyo,Politikus
Q123710599,Abdul Rajak Hak,Politikus
Q123889445,Abdul Rakhman Bolong,Politikus
Q123893114,Abdul Rasak,Politikus
Q123713689,Abdul Rasyid,Politikus
Q123870709,Abdul Rasyid,Politikus
Q123887752,Abdul Rasyid,Politikus
Q123886873,Abdul Rasyid,Politikus
Q123875855,Abdul Rasyid Baharuddin,Politikus
Q123875205,Abdul Rasyid Saliman,Politikus
